Trajectory	Frame	x	y	z
1	227	22.264	20.171	0
1	228	21.94	19.711	0
1	229	21.815	19.701	0
1	230	21.513	19.726	0
1	231	21.435	20.285	0
1	232	21.483	20.519	0
1	233	21.512	20.449	0
1	234	21.31	20.28	0
1	235	21.302	20.446	0
1	236	21.188	20.225	0
1	237	21.218	20.539	0
1	238	21.311	20.343	0
1	239	21.281	20.339	0
1	240	20.596	20.137	0
1	241	20.455	19.269	0
1	242	20.402	19.243	0
1	243	20.056	19.418	0
1	244	19.805	19.405	0
1	245	19.812	18.762	0
1	246	19.709	18.776	0
1	247	19.588	18.409	0
1	248	19.563	19.392	0
1	249	19.174	19.879	0
1	250	19.381	20.073	0
1	251	19.809	19.697	0
1	252	20.136	19.575	0
1	253	19.968	19.163	0
1	254	19.782	19.916	0
1	255	19.504	20.137	0
1	256	19.651	20.216	0
1	257	19.259	20.392	0
1	258	19.301	20.376	0
1	259	19.043	20.512	0
1	260	19.477	20.347	0
1	261	19.111	20.534	0
1	262	18.749	21.157	0
1	263	18.383	21.818	0
1	264	18.048	21.592	0
1	265	18.116	21.681	0
1	266	18.048	21.772	0
1	267	17.852	21.862	0
1	268	18.135	22.585	0
1	269	18.269	23.356	0
1	270	18.218	22.644	0
1	271	17.952	22.724	0
1	272	18.168	23.27	0
1	273	17.951	23.074	0
1	274	17.128	22.737	0
1	275	16.761	23.039	0
1	276	16.858	23.422	0
1	277	17.101	24.16	0
1	278	17.557	24.502	0
1	279	18.185	24.769	0
1	280	17.709	24.847	0
1	281	17.389	24.758	0
1	282	17.336	24.437	0
1	283	17.59	23.795	0
1	284	17.251	24.102	0
1	285	17.523	24.522	0
1	286	17.701	24.69	0
1	287	18.533	25.081	0
1	288	18.773	25.245	0
1	289	18.947	25.809	0
1	290	18.739	25.398	0
1	291	18.561	25.487	0
1	292	18.366	25.67	0
1	293	18.318	25.617	0
1	294	18.335	25.502	0
1	295	17.963	26.151	0
1	296	17.687	26.515	0
1	297	17.345	26.837	0
1	298	17.59	26.76	0
1	299	17.132	26.856	0
1	300	17.482	26.663	0
1	301	17.547	27.084	0
1	302	17.412	26.801	0
1	303	17.447	26.609	0
1	304	18.009	26.552	0
1	305	18.208	26.242	0
1	306	18.314	26.087	0
1	307	18.62	26.833	0
1	308	18.661	26.748	0
1	309	18.574	26.791	0
1	310	18.783	27.349	0
1	311	18.589	27.163	0
1	312	18.633	27.585	0
1	313	18.919	27.765	0
1	314	19.096	27.835	0
1	315	19.459	28.129	0
1	316	19.391	27.925	0
1	317	19.435	27.696	0
1	318	19.539	28.056	0
1	319	19.665	28.13	0
1	320	19.733	28.411	0
1	321	19.804	28.238	0
1	322	19.631	28.197	0
1	323	19.636	28.126	0
1	324	19.295	27.772	0
1	325	19.434	27.606	0
1	326	19.508	28.114	0
1	327	19.488	28.135	0
1	328	19.466	28.335	0
